article1_id,article2_id,score
26,50,0.9537902474403381
74,12,0.7125722169876099
1,35,0.8243002891540527
93,0,0.8346688151359558
23,12,0.908030092716217
90,28,0.7343485355377197
14,6,0.8256763219833374
40,92,0.7990999221801758
12,85,0.9040468335151672
37,21,0.7885133028030396
21,17,0.822587251663208
16,36,0.7669538855552673
35,15,0.8111011981964111
65,54,0.779954195022583
68,51,0.7848551869392395
69,92,0.8626631498336792
95,0,0.7450644373893738
48,27,0.8375481367111206
10,31,0.7374899983406067
29,67,0.8319287896156311
95,10,0.7299152612686157
70,87,0.7873486876487732
31,37,0.730934202671051
84,41,0.8190480470657349
36,63,0.8220549821853638
91,66,0.8472786545753479
67,55,0.8108356595039368
56,29,0.8494992852210999
72,67,0.7405151724815369
92,59,0.7632476091384888
76,26,0.723820686340332
70,83,0.8556812405586243
6,40,0.8680275082588196
24,26,0.6883165836334229
34,18,0.8226693272590637
16,65,0.7375756502151489
84,58,0.8329169154167175
44,56,0.7056739330291748
86,41,0.7908240556716919
30,15,0.7939645051956177
31,21,0.7653575539588928
76,42,0.7309785485267639
66,14,0.8675276637077332
46,54,0.8192837238311768
15,24,0.7057645916938782
43,63,0.7829703688621521
7,15,0.7592456340789795
78,9,0.875800609588623
4,47,0.7457089424133301
2,89,0.8090429306030273
77,23,0.8504863381385803
75,20,0.7432968020439148
7,91,0.8687083721160889
36,48,0.7402624487876892
38,27,0.8693292140960693
6,72,0.7671489715576172
38,56,0.9286013245582581
27,42,0.8842499256134033
16,95,0.7787525057792664
75,1,0.8016724586486816
64,13,0.8193406462669373
19,54,0.8152455687522888
62,36,0.7386960387229919
39,69,0.8203372359275818
4,12,0.7130037546157837
4,87,0.7672722935676575
84,83,0.856048047542572
33,9,0.896883487701416
86,82,0.7923115491867065
53,51,0.7137472033500671
42,57,0.8541996479034424
40,28,0.7303328514099121
90,25,0.8771087527275085
91,8,0.8100144267082214
17,79,0.7857260704040527
94,35,0.7185603380203247
70,14,0.868442952632904
34,0,0.7524478435516357
48,11,0.7368014454841614
66,93,0.7967283129692078
18,6,0.8273072242736816
33,69,0.8862636089324951
89,80,0.8357693552970886
87,40,0.7982459664344788
46,24,0.7013442516326904
63,11,0.7439658641815186
10,69,0.7429285645484924
46,11,0.8919059038162231
23,39,0.769374430179596
87,65,0.7997987866401672
74,32,0.7211208343505859
80,70,0.7967061996459961
75,45,0.6905781626701355
47,77,0.7984829545021057
3,2,0.7311064004898071
30,62,0.7666339874267578
19,22,0.79015052318573
86,56,0.742429792881012
65,79,0.6716514825820923
37,63,0.8319162726402283
66,33,0.8241817951202393
3,76,0.8071656227111816
64,22,0.7513833045959473
44,2,0.8585605621337891
68,6,0.7678464651107788
50,14,0.8563262224197388
77,9,0.7728849649429321
68,59,0.7601885199546814
1,50,0.823501467704773
56,63,0.7750309109687805
