article1_id,article2_id,score
47,7,0.8370123505592346
44,15,0.6795843839645386
29,79,0.7942517399787903
92,84,0.8488689064979553
40,14,0.7862560749053955
40,66,0.7487172484397888
93,91,0.7285963892936707
74,40,0.6917006969451904
64,34,0.846741259098053
7,9,0.8605605363845825
44,25,0.6982451677322388
25,0,0.8349016308784485
88,29,0.8312308192253113
80,66,0.8594942092895508
33,93,0.7231354117393494
72,22,0.8837730884552002
82,3,0.6801488399505615
68,43,0.7781141996383667
30,31,0.8687711358070374
52,31,0.7545901536941528
90,79,0.8270031809806824
49,69,0.7238625884056091
80,13,0.805374801158905
71,1,0.8579689860343933
31,5,0.8192000985145569
74,21,0.7052958607673645
41,35,0.7464635968208313
11,48,0.7306662797927856
61,49,0.7504827976226807
14,56,0.809572696685791
74,53,0.7262865900993347
16,94,0.7897470593452454
60,39,0.8215575218200684
0,44,0.6386522054672241
44,46,0.6755999326705933
94,40,0.7115374207496643
8,82,0.8054177761077881
73,72,0.8377636671066284
46,4,0.745845377445221
39,2,0.802618145942688
82,6,0.7126373648643494
20,76,0.7108666896820068
21,62,0.7108306288719177
74,69,0.7451573014259338
29,36,0.8614488840103149
12,24,0.7333688735961914
8,19,0.7655867338180542
84,61,0.7291431427001953
43,42,0.7999650835990906
0,74,0.7161029577255249
55,50,0.8352748155593872
2,16,0.7727658748626709
85,60,0.7985432744026184
37,12,0.8328688740730286
10,8,0.7299238443374634
36,72,0.8483186364173889
34,54,0.7645568251609802
52,45,0.8531820774078369
51,55,0.8197150230407715
80,15,0.7291174530982971
39,73,0.7677487730979919
71,51,0.8410031199455261
53,43,0.7850012183189392
26,64,0.8575400710105896
65,91,0.8393356204032898
95,39,0.7969508767127991
40,67,0.7516874074935913
45,3,0.684014081954956
48,24,0.7933794260025024
81,82,0.7416967749595642
94,15,0.7330271005630493
60,48,0.7634437084197998
32,6,0.8071087598800659
75,67,0.6702196002006531
9,80,0.8191848397254944
94,75,0.6881397366523743
94,28,0.7199284434318542
64,80,0.826847493648529
15,13,0.7676070332527161
20,62,0.7138915657997131
52,67,0.8312104940414429
87,45,0.7698159217834473
19,62,0.8049095273017883
68,63,0.738405704498291
87,70,0.8154111504554749
86,36,0.7037983536720276
7,70,0.7978090047836304
6,17,0.7683544158935547
51,31,0.7908262610435486
50,41,0.7653937935829163
30,85,0.76674485206604
1,46,0.7778924703598022
75,22,0.6914102435112
29,76,0.7238113284111023
51,12,0.8694440722465515
45,14,0.882554829120636
77,16,0.7832110524177551
86,60,0.7494135499000549
2,50,0.7750573754310608
28,54,0.7868579626083374
34,41,0.8217828273773193
39,17,0.8546202182769775
91,11,0.8083760142326355
79,65,0.7112309336662292
74,87,0.77942955493927
7,92,0.8880230188369751
35,82,0.8136219382286072
12,93,0.7410836815834045
37,84,0.7626548409461975
18,35,0.7608431577682495
16,58,0.8067824244499207
31,65,0.8111023902893066
6,73,0.8256201148033142
46,94,0.7632028460502625
8,77,0.8291853070259094
29,15,0.7037434577941895
67,6,0.7870991230010986
90,80,0.7996271252632141
17,92,0.8263463973999023
82,52,0.7245437502861023
65,26,0.7463486790657043
19,87,0.7859485149383545
17,15,0.7513365745544434
89,58,0.8652411103248596
59,44,0.6179038882255554
55,32,0.8231638669967651
20,7,0.8492554426193237
65,47,0.7509807348251343
31,93,0.7114115357398987
11,67,0.8464795351028442
40,16,0.7457071542739868
47,13,0.79902583360672
46,17,0.8315190076828003
15,65,0.7150902152061462
9,45,0.8399895429611206
88,74,0.735409140586853
75,46,0.6634505987167358
76,70,0.7915453314781189
79,46,0.7452229857444763
52,33,0.8368069529533386
71,11,0.8819241523742676
79,54,0.7208110094070435
38,20,0.8118753433227539
25,41,0.8345067501068115
86,47,0.729572594165802
79,24,0.7494865655899048
27,5,0.8326394557952881
71,80,0.8291527628898621
37,47,0.8082610368728638
91,87,0.836715817451477
31,83,0.8315067291259766
27,46,0.8038394451141357
35,4,0.7955995202064514
19,41,0.7877501249313354
52,74,0.7149800062179565
54,52,0.795395016670227
0,1,0.7955928444862366
84,24,0.7653817534446716
34,58,0.829138994216919
48,12,0.7667518258094788
85,87,0.7946403622627258
49,50,0.7155436873435974
19,74,0.7009119391441345
22,61,0.7382851243019104
52,42,0.7835244536399841
56,70,0.8194469213485718
52,87,0.7723679542541504
42,57,0.8339433670043945
28,69,0.7840114235877991
31,47,0.7936516404151917
35,16,0.8116090297698975
15,83,0.7488451600074768
25,5,0.8287230730056763
