Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
1924,"LetsShave Toiletry Shaving Bag for Men & Women Grey - Water Resistant, Spacious Pouch, Cotton-Nylon Exterior, Travel Organ...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WVvI+llVL._AC_UL320_.jpg,https://www.amazon.in/LetsShave-Toiletry-Bag-Green-Resistant/dp/B08M3H4PT5/ref=sr_1_1929?qid=1679143953&s=luggage&sr=1-1929,4.0,44,₹519,₹529
17993,"Xtore FDA CE Certified Cotton Cloth Washable Reusable N95 Cloth Mask Without Valve, 1 Filter & 1 Head Band for Unisex (Ebo...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gkNlsYF2L._AC_UL320_.jpg,https://www.amazon.in/Xtore-Washable-Reuseable-Without-Certified/dp/B08WWJL38P/ref=sr_1_18050?qid=1679144487&s=luggage&sr=1-18050,3.7,"4,958",₹281,₹489
14454,Cheeky Chunk 3 Fold Designer Girls Rain Doodle Monsoon Fashion Umbrella,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/81tyBTvGfDL._AC_UL320_.jpg,https://www.amazon.in/Cheeky-Chunk-000003-White-Umbrella/dp/B00YBREMNE/ref=sr_1_14507?qid=1679144374&s=luggage&sr=1-14507,4.0,392,₹690,"₹1,500"
1356,Flat 8% off at checkout||World of Titan - Digital Voucher,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41jMPOTzwDL._AC_UL320_.jpg,https://www.amazon.in/World-of-Titan-Digital-Voucher/dp/B07F1TTQGP/ref=sr_1_1361?qid=1679143934&s=luggage&sr=1-1361,4.6,303,₹500,"₹10,000"
4391,2 in 1 Genuine Leather Brown Waist & Chest Bag with Adjustable Strap for Women Men Stylish Travel Pouch Passport Holder fo...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Tb7nFPRxL._AC_UL320_.jpg,https://www.amazon.in/Genuine-Leather-Adjustable-Passport-Travelling/dp/B0B15GSQM6/ref=sr_1_4400?qid=1679144033&s=luggage&sr=1-4400,3.7,17,"₹1,299","₹3,199"
16870,Hidesign,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/615enqoumiL._AC_UL320_.jpg,https://www.amazon.in/Hidesign-Womens-Shoulder-Bag-Tan/dp/B07XZ989C2/ref=sr_1_16927?qid=1679144452&s=luggage&sr=1-16927,4.0,14,,"₹4,001"
2269,Avila 70L Travel Bag Rucksack Backpack for Hiking/ Trekking/ Camping/ Travelling - Grey,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/718G18TJawL._AC_UL320_.jpg,https://www.amazon.in/Avila-Rucksack-Backpack-Trekking-Travelling/dp/B0B5NBNWYC/ref=sr_1_2274?qid=1679143964&s=luggage&sr=1-2274,3.8,63,₹799,"₹1,499"
15077,"F Gear Volga Doby Red 25.5 Ltrs Laptop Backpack (3834), M",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71CA2DIEGZS._AC_UL320_.jpg,https://www.amazon.in/Gear-Volga-Doby-Laptop-Backpack/dp/B097K84VDX/ref=sr_1_15130?qid=1679144394&s=luggage&sr=1-15130,4.3,7,₹537,"₹1,990"
17661,Nutcase Personalized Passport Cover PU Leather Polyfabric - Cute Helicopter,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/61eNB1NVnqL._AC_UL320_.jpg,https://www.amazon.in/Nutcase-Personalized-Passport-Leather-Polyfabric/dp/B07DLPTVJN/ref=sr_1_17718?qid=1679144476&s=luggage&sr=1-17718,3.8,6,₹499,₹999
14548,Baggit Women's 2 Fold Wallet - Large (Beige),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51wFYorJTGL._AC_UL320_.jpg,https://www.amazon.in/Baggit-Womens-Fold-Wallet-Large/dp/B0BJPPPMNY/ref=sr_1_14601?qid=1679144377&s=luggage&sr=1-14601,,,₹479,₹890
