article1_id,article2_id,ad1_id,ad2_id,score
72,22,3,3,0.8823481798171997
82,3,3,3,0.7491381168365479
68,43,3,3,0.8351213335990906
30,31,3,3,0.7976931929588318
52,31,3,3,0.7444031834602356
90,79,3,3,0.8518079519271851
49,69,3,3,0.7291526794433594
80,13,3,3,0.7972185015678406
71,1,3,3,0.8134012222290039
31,5,3,3,0.7996697425842285
74,21,3,3,0.7214906811714172
41,35,3,3,0.7291022539138794
11,48,3,3,0.7440816760063171
61,49,3,3,0.7277750372886658
14,56,3,3,0.8075459599494934
74,53,3,3,0.6721009016036987
16,94,3,3,0.7461411952972412
60,39,3,3,0.8387355208396912
0,44,3,3,0.6357892751693726
44,46,3,3,0.7676523923873901
94,40,3,3,0.745061457157135
8,82,3,3,0.7873145937919617
73,72,3,3,0.8432022333145142
46,4,3,3,0.7501732110977173
39,2,3,3,0.8107235431671143
82,6,3,3,0.7973425388336182
20,76,3,3,0.8049443960189819
21,62,3,3,0.7319250106811523
74,69,3,3,0.7265925407409668
29,36,3,3,0.8225892186164856
12,24,3,3,0.7434377074241638
8,19,3,3,0.7856711745262146
84,61,3,3,0.7388421893119812
43,42,3,3,0.8169276118278503
0,74,3,3,0.6601945161819458
55,50,3,3,0.8000122308731079
2,16,3,3,0.7434569001197815
85,60,3,3,0.8096098303794861
37,12,3,3,0.8092546463012695
10,8,3,3,0.7210634350776672
36,72,3,3,0.8843305706977844
34,54,3,3,0.7326794862747192
52,45,3,3,0.8524157404899597
51,55,3,3,0.8141635060310364
80,15,3,3,0.7308233976364136
39,73,3,3,0.7817977666854858
71,51,3,3,0.8233017921447754
53,43,3,3,0.7727090120315552
26,64,3,3,0.819454550743103
65,91,3,3,0.819045901298523
95,39,3,3,0.779586911201477
40,67,3,3,0.8454489707946777
45,3,3,3,0.7379341721534729
48,24,3,3,0.8000946640968323
81,82,3,3,0.7611475586891174
94,15,3,3,0.7310256958007812
60,48,3,3,0.7346187233924866
32,6,3,3,0.8155927658081055
75,67,3,3,0.7014794945716858
9,80,3,3,0.8113281726837158
94,75,3,3,0.7229796051979065
94,28,3,3,0.759117066860199
64,80,3,3,0.7863448858261108
15,13,3,3,0.7958570718765259
20,62,3,3,0.8170578479766846
52,67,3,3,0.8337713479995728
87,45,3,3,0.8158102035522461
19,62,3,3,0.7985116243362427
68,63,3,3,0.7802260518074036
87,70,3,3,0.7812121510505676
86,36,3,3,0.7342838644981384
7,70,3,3,0.784089207649231
6,17,3,3,0.7907949090003967
51,31,3,3,0.7971131801605225
50,41,3,3,0.780860960483551
30,85,3,3,0.788808286190033
1,46,3,3,0.8935106992721558
75,22,3,3,0.717647910118103
29,76,3,3,0.8299048542976379
51,12,3,3,0.8537811636924744
45,14,3,3,0.8981284499168396
77,16,3,3,0.7146273851394653
86,60,3,3,0.7759720087051392
2,50,3,3,0.8585878014564514
28,54,3,3,0.7686311602592468
34,41,3,3,0.8173097968101501
39,17,3,3,0.8257120847702026
91,11,3,3,0.7521809935569763
79,65,3,3,0.6993316411972046
74,87,3,3,0.7904509902000427
7,92,3,3,0.8560041785240173
35,82,3,3,0.7547545433044434
12,93,3,3,0.7924259901046753
37,84,3,3,0.7554920315742493
18,35,3,3,0.7387605309486389
16,58,3,3,0.7780858278274536
31,65,3,3,0.7440439462661743
6,73,3,3,0.7933111190795898
46,94,3,3,0.7476374506950378
8,77,3,3,0.76348876953125
29,15,3,3,0.7650386691093445
67,6,3,3,0.8004394769668579
90,80,3,3,0.8380837440490723
17,92,3,3,0.8058817386627197
82,52,3,3,0.7281015515327454
65,26,3,3,0.7738277316093445
19,87,3,3,0.769197940826416
17,15,3,3,0.7619996666908264
89,58,3,3,0.8605288863182068
59,44,3,3,0.7510532140731812
55,32,3,3,0.7718187570571899
20,7,3,3,0.8066842555999756
65,47,3,3,0.7136081457138062
31,93,3,3,0.748737633228302
11,67,3,3,0.8208917379379272
40,16,3,3,0.7702404856681824
47,13,3,3,0.8088886141777039
46,17,3,3,0.7850419878959656
15,65,3,3,0.7777363657951355
9,45,3,3,0.865911066532135
88,74,3,3,0.6991664171218872
75,46,3,3,0.7736358046531677
76,70,3,3,0.8058401346206665
79,46,3,3,0.7110802531242371
52,33,3,3,0.8293870091438293
71,11,3,3,0.8743187785148621
79,54,3,3,0.7469367384910583
38,20,3,3,0.7943155169487
25,41,3,3,0.7730476260185242
86,47,3,3,0.7147860527038574
79,24,3,3,0.7351259589195251
27,5,3,3,0.8155933022499084
71,80,3,3,0.8196460604667664
37,47,3,3,0.7724944353103638
91,87,3,3,0.8253673315048218
31,83,3,3,0.7998727560043335
27,46,3,3,0.870588481426239
35,4,3,3,0.7689200639724731
19,41,3,3,0.7611120343208313
52,74,3,3,0.6688255667686462
54,52,3,3,0.8209804892539978
0,1,3,3,0.7843016982078552
84,24,3,3,0.762021541595459
34,58,3,3,0.7748436331748962
48,12,3,3,0.795844554901123
85,87,3,3,0.823933482170105
49,50,3,3,0.7599871754646301
19,74,3,3,0.7228733897209167
22,61,3,3,0.7661675214767456
52,42,3,3,0.748839259147644
56,70,3,3,0.8254871368408203
52,87,3,3,0.7662910223007202
42,57,3,3,0.8647899627685547
28,69,3,3,0.802636981010437
31,47,3,3,0.7459062933921814
35,16,3,3,0.7226790189743042
15,83,3,3,0.7334407567977905
25,5,3,3,0.8526874780654907
20,93,3,3,0.7177765369415283
81,77,3,3,0.7826530337333679
12,5,3,3,0.835788905620575
4,88,3,3,0.6995388269424438
76,32,3,3,0.7551001310348511
81,88,3,3,0.7533605098724365
12,36,3,3,0.8604736328125
83,10,3,3,0.7492102384567261
59,36,3,3,0.8251059651374817
2,59,3,3,0.7636070847511292
49,26,3,3,0.7712078094482422
78,77,3,3,0.7886877059936523
85,3,3,3,0.7752242088317871
44,93,3,3,0.6429162621498108
95,50,3,3,0.7323645353317261
10,13,3,3,0.8192206025123596
64,10,3,3,0.7652003765106201
78,85,3,3,0.8411787152290344
54,10,3,3,0.7656940817832947
86,67,3,3,0.7735867500305176
11,17,3,3,0.823248565196991
41,22,3,3,0.8557221293449402
88,79,3,3,0.783989667892456
81,65,3,3,0.7959957718849182
38,74,3,3,0.7198582887649536
94,48,3,3,0.7707826495170593
33,53,3,3,0.7150282859802246
19,2,3,3,0.8284900784492493
14,62,3,3,0.8360788822174072
59,83,3,3,0.6954913139343262
83,29,3,3,0.7669401168823242
40,18,3,3,0.8175655603408813
37,75,3,3,0.6935892105102539
58,44,3,3,0.6906754970550537
84,38,3,3,0.8763516545295715
51,30,3,3,0.7353062629699707
7,44,3,3,0.7249121069908142
28,90,3,3,0.7552470564842224
19,52,3,3,0.8282483816146851
8,53,3,3,0.7123976945877075
32,34,3,3,0.8077999353408813
66,16,3,3,0.7883124947547913
52,83,3,3,0.7117301225662231
92,2,3,3,0.8180100321769714
2,47,3,3,0.7813994288444519
48,33,3,3,0.7637344002723694
5,15,3,3,0.6885858178138733
61,28,3,3,0.8720666170120239
55,2,3,3,0.7520228028297424
23,70,3,3,0.8660968542098999
37,64,3,3,0.7488077878952026
10,67,3,3,0.7661728858947754
81,14,3,3,0.7964755892753601
11,47,3,3,0.7700837850570679
1,59,3,3,0.7695738673210144
64,39,3,3,0.802196204662323
7,29,3,3,0.8248953223228455
20,33,3,3,0.8027938008308411
78,44,3,3,0.6714257597923279
77,16,3,3,0.7146273851394653
71,8,3,3,0.7608518600463867
57,74,3,3,0.7196686267852783
85,46,3,3,0.8929929733276367
75,23,3,3,0.7477846741676331
88,28,3,3,0.760732114315033
80,52,3,3,0.760270893573761
12,48,3,3,0.795844554901123
95,86,3,3,0.8474671840667725
95,77,3,3,0.767439603805542
19,25,3,3,0.8554468750953674
73,28,3,3,0.7727721929550171
42,95,3,3,0.7167035341262817
37,26,3,3,0.7430527806282043
7,12,3,3,0.8950211405754089
39,59,3,3,0.8008650541305542
91,92,3,3,0.7747694253921509
55,71,3,3,0.8054774403572083
21,12,3,3,0.8966910243034363
41,2,3,3,0.7772576212882996
50,45,3,3,0.8253543972969055
63,71,3,3,0.7391119599342346
31,51,3,3,0.7971131801605225
8,92,3,3,0.8207316994667053
70,24,3,3,0.7729334831237793
28,19,3,3,0.7932502627372742
61,26,3,3,0.7780972719192505
35,87,3,3,0.7695817947387695
89,49,3,3,0.782713770866394
65,84,3,3,0.7469587326049805
4,44,3,3,0.7466886043548584
7,33,3,3,0.8501211404800415
10,33,3,3,0.7943536043167114
82,63,3,3,0.7411470413208008
43,60,3,3,0.7998636364936829
74,14,3,3,0.7276699542999268
15,64,3,3,0.7356323003768921
13,58,3,3,0.8028734922409058
56,17,3,3,0.8189485669136047
40,26,3,3,0.8033106923103333
50,41,3,3,0.780860960483551
65,67,3,3,0.7251901030540466
80,23,3,3,0.859321653842926
50,62,3,3,0.7835295796394348
54,81,3,3,0.7725313901901245
0,76,3,3,0.7456459403038025
51,37,3,3,0.7494345307350159
9,72,3,3,0.8226619362831116
94,80,3,3,0.8348760008811951
8,42,3,3,0.7914153933525085
19,74,3,3,0.7228733897209167
46,43,3,3,0.7481169700622559
77,21,3,3,0.766864001750946
88,21,3,3,0.8656704425811768
42,29,3,3,0.8215070366859436
